Apt1 Apt2 Apt3 Drain1 EastGC1 EastGC10 EastGC11 EastGC13 EastGC2 EastGC3 EastGC4 EastGC7 Hotel1 Hotel2 Hotel3 Hotel4 Private1 WestGC1 WestGC2 WestGC6
EastGC4 -0.511385793590596 -0.397816338470299 -0.472734772381867 -0.690058351408147 -0.091231594116114 -0.00122481086951236 0.00374829234668459 -0.0580336733548384 -0.00891554976779787 0.0487515287167372 0 -0.0799892573045613 0.223052796858745 0.262007913559683 0.215834283177325 0.258540084997187 0.110466377869938 -0.0374678004606151 -0.060319803615709 -0.123130986095042
EastGC7 -0.44755587370373 -0.331171145980621 -0.40732308179779 -0.644759725282347 -0.0166442477459827 0.0812519477000844 0.0875111358218282 0.0244706289267358 0.0692983562973835 0.128723830444199 0.0799892573045613 0 0.290931994969886 0.330143894643084 0.282853639747938 0.324138701669244 0.180547115312666 0.0363647799348452 0.0113036417321267 -0.0508417684910623
Hotel1 -0.627530085859665 -0.540410033262 -0.598570287612021 -0.773425203824622 -0.309904146262626 -0.215409329116624 -0.220109208736539 -0.279273868845258 -0.234758496805868 -0.169144431864099 -0.223052796858745 -0.290931994969886 0 0.0477296672300354 -0.0186289634275765 0.0517663892340841 -0.0993681129016723 -0.268344799946838 -0.293515155583261 -0.347917655311143
Hotel2 -0.653242283410018 -0.572150454042329 -0.627018022059372 -0.788835459631323 -0.344660311506843 -0.253758026966804 -0.260942398488212 -0.319935476219613 -0.272397630566533 -0.212161105387213 -0.262007913559683 -0.330143894643084 -0.0477296672300354 0 -0.0664844830965078 0.00286690604921191 -0.133083550297034 -0.300744818853262 -0.324416046505948 -0.380708735627711
Hotel3 -0.619408180951302 -0.532469047564553 -0.588836567777147 -0.769772490790238 -0.305659984911496 -0.209021406046607 -0.211837144285489 -0.270620252631643 -0.228250007512059 -0.162664185254452 -0.215834283177325 -0.282853639747938 0.0186289634275765 0.0664844830965078 0 0.0696770625256841 -0.0919190735326976 -0.258761436373853 -0.283805567410755 -0.33984825432677
Hotel4 -0.649468884522384 -0.567929807451732 -0.621524939721194 -0.789368813644508 -0.342982521394203 -0.250905970767047 -0.254054662926483 -0.313323235087178 -0.269112869458943 -0.205518274595133 -0.258540084997187 -0.324138701669244 -0.0517663892340841 -0.00286690604921191 -0.0696770625256841 0 -0.132338631508979 -0.302490026441672 -0.326768403577457 -0.379508961353311
Private1 -0.584197796536443 -0.48809868193421 -0.54906031760681 -0.735601230619945 -0.190497625702853 -0.10356035512354 -0.107864408015764 -0.162024556663255 -0.116897376005089 -0.0627002447105547 -0.110466377869938 -0.180547115312666 0.0993681129016723 0.133083550297034 0.0919190735326976 0.132338631508979 0 -0.147079846763594 -0.171173017211489 -0.230619020109341
WestGC1 -0.457593721051369 -0.34069416586928 -0.416053065696836 -0.660489095600637 -0.0540922639560255 0.0447160966649952 0.0445976069155936 -0.0153741364411499 0.0286252260066028 0.0912437268221258 0.0374678004606151 -0.0363647799348452 0.268344799946838 0.300744818853262 0.258761436373853 0.302490026441672 0.147079846763594 0 -0.0292588260137025 -0.0920473224856851
WestGC2 -0.442020468542418 -0.322768858085356 -0.401057766507427 -0.645630655164666 -0.0306553780715083 0.0697019885799405 0.0696027158553495 0.00893147052797547 0.0528916245395236 0.117399510256743 0.060319803615709 -0.0113036417321267 0.293515155583261 0.324416046505948 0.283805567410755 0.326768403577457 0.171173017211489 0.0292588260137025 0 -0.0653151539202261
WestGC6 -0.403975834807353 -0.282310846922029 -0.36273641749126 -0.620600429825006 0.0313464167692685 0.129561908173378 0.130092128863462 0.0704747088850707 0.113510298334788 0.175227670759102 0.123130986095042 0.0508417684910623 0.347917655311143 0.380708735627711 0.33984825432677 0.379508961353311 0.230619020109341 0.0920473224856851 0.0653151539202261 0
